,solver_status,Grid connection installed capacity,solving_time,12h battery installed capacity,solver_status_code,6h battery installed capacity,1h battery installed capacity,2h battery installed capacity,total_renewable_energy,run_id,net_profit_add_investment,return_on_add_investment,pv_cost,logfile,objective_result,battery_cost,filename_export,PV high DC ratio installed capacity,8h battery installed capacity,battery_reflux,4h battery installed capacity,Nordex N100 2500 installed capacity,PV low DC ratio installed capacity,curtailment,total_investment_cost,total_generation,relative_curtailment,total_installed_capacity,total_storage_energy,total_storage_power,ratio
1130,ok,10,61.335561752319336,0,0,0,0,0.0,57046.07663101616,220806_cablepooling_bothdcs,1.9774345367039807,0.10493754024940877,0.2506451612903226,cablepooling_paper_exp_8593504847052.log,-0.5866702792773544,0.1357741935483871,cablepooling_paper_exp_8593504847052.json,0.0,0,0.0,0.0,10,16.320855614973265,11318.231764705903,18.8439192685872,63880.29968984012,17.717875181643862,26.320855614973265,0.0,0.0,>1
1131,ok,10,21.628337621688843,0,0,0,0,0.0,51718.390268948744,220806_cablepooling_bothdcs,1.8854111773876567,0.09755773676283927,0.33129032258064517,cablepooling_paper_exp_12780863386561.log,-0.48082113618432265,0.16025806451612906,cablepooling_paper_exp_12780863386561.json,0.0,0,0.0,0.0,10,13.36674816625917,7387.6062347188235,19.326106159791784,57315.6053105139,12.889345222292627,23.36674816625917,0.0,0.0,>1
1132,ok,10,19.57124090194702,0,0,0,0,0.0,49345.04027999992,220806_cablepooling_bothdcs,1.910785959998897,0.0950119510227522,0.3635483870967742,cablepooling_paper_exp_208426583069055.log,-0.46241246858415663,0.23370967741935483,cablepooling_paper_exp_208426583069055.json,9.78,0,0.0,0.0,10,0.0,4710.135800000001,20.1110064516129,27611.67000000006,17.05849664290494,10.0,0.0,0.0,<1
1133,ok,10,76.07226705551147,0,0,0,0,38.54145025493736,92406.7319277112,220806_cablepooling_bothdcs,2.6948146495753367,0.09435782774092467,0.21838709677419355,cablepooling_paper_exp_125513321521098.log,-0.8615716536967353,0.046,cablepooling_paper_exp_125513321521098.json,0.0,0,0.0,32.26794286361924,10,35.92771084337349,2988.195916228907,28.55952403837004,107451.1631566276,2.7809805203068154,45.92771084337349,70.8093931185566,27.33771084337349,>1
1134,ok,10,19.22224235534668,0,0,0,0,0.0,62003.2628571428,220806_cablepooling_bothdcs,2.105237331005831,0.11073929399521597,0.1941935483870968,cablepooling_paper_exp_135615050619868.log,-0.6968762445870846,0.2418709677419355,cablepooling_paper_exp_135615050619868.json,15.476190476190474,0,0.0,0.0,10,0.0,14223.022380952345,19.010752688172044,27611.67000000006,51.510909629704805,10.0,0.0,0.0,<1
1135,ok,10,36.701372146606445,0,0,0,0,23.285417966164694,74648.48988416999,220806_cablepooling_bothdcs,2.4291369750840053,0.09145490029193501,0.2829032258064516,cablepooling_paper_exp_54098396574387.log,-0.6853333101607961,0.046,cablepooling_paper_exp_54098396574387.json,0.0,0,0.0,26.492793411299985,10,26.08108108108108,2249.7549089674308,26.561036831596034,85569.72648648731,2.6291481828245638,36.08108108108108,49.77821137746468,18.265907335907343,>1
1136,ok,10,34.74392890930176,0,0,0,0,0.0,49713.156847825936,220806_cablepooling_bothdcs,1.9296046696993723,0.09850049521985144,0.33129032258064517,cablepooling_paper_exp_216877000281600.log,-0.5001857676762294,0.18474193548387097,cablepooling_paper_exp_216877000281600.json,9.945652173913043,0,0.0,0.0,10,0.0,4953.625869565213,19.589796633941095,27611.67000000006,17.94033417596691,10.0,0.0,0.0,<1
1137,ok,10,20.2292697429657,0,0,0,0,0.0,67780.18363636376,220806_cablepooling_bothdcs,2.0977852893551865,0.11238724016812546,0.17806451612903226,cablepooling_paper_exp_183575527617855.log,-0.7101639321687447,0.2418709677419355,cablepooling_paper_exp_183575527617855.json,0.0,0,0.0,0.0,10,22.272727272727273,19966.148181818186,18.66568914956012,77106.70363636434,25.89417941658958,32.27272727272727,0.0,0.0,>1
1138,ok,10,17.887953281402588,0,0,0,0,0.0,55642.60229857825,220806_cablepooling_bothdcs,1.9566894946294682,0.10340053284426966,0.2667741935483871,cablepooling_paper_exp_127524944948299.log,-0.5637767870148422,0.299,cablepooling_paper_exp_127524944948299.json,0.0,0,0.0,0.0,10,15.542654028436017,10247.983483412294,18.92339856291087,62150.95989099577,16.488857937811172,25.54265402843602,0.0,0.0,>1
1139,ok,10,29.54670023918152,0,0,0,0,0.0,57944.79336986294,220806_cablepooling_bothdcs,1.9891542815547743,0.10564546662726461,0.24258064516129033,cablepooling_paper_exp_89195703920897.log,-0.5985768366644717,0.20106451612903226,cablepooling_paper_exp_89195703920897.json,0.0,0,0.0,0.0,10,16.81917808219178,11987.527561643832,18.82858152894388,64987.68483287726,18.445844920419972,26.81917808219178,0.0,0.0,>1
